Starting negotiation session.
Round 1
  Turn 1: Party 1       (Offer: Bid[Pie: a1000, ])
  Turn 1: Party 1       (Offer: Bid[Pie: a996, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a4, ])
Round 63
  Turn 1: Party 1       (Offer: Bid[Pie: a995, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a5, ])
Round 64
  Turn 1: Party 1       (Offer: Bid[Pie: a995, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a5, ])
Round 65
  Turn 1: Party 1       (Offer: Bid[Pie: a994, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a6, ])
Round 66
  Turn 1: Party 1       (Offer: Bid[Pie: a994, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a6, ])
Round 67
  Turn 1: Party 1       (Offer: Bid[Pie: a994, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a6, ])
Round 68
  Turn 1: Party 1       (Offer: Bid[Pie: a993, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a7, ])
Round 69
  Turn 1: Party 1       (Offer: Bid[Pie: a993, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a7, ])
Round 70
  Turn 1: Party 1       (Offer: Bid[Pie: a992, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a8, ])
Round 71
  Turn 1: Party 1       (Offer: Bid[Pie: a991, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a9, ])
Round 72
  Turn 1: Party 1       (Offer: Bid[Pie: a991, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a9, ])
Round 73
  Turn 1: Party 1       (Offer: Bid[Pie: a990, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a10, ])
Round 74
  Turn 1: Party 1       (Offer: Bid[Pie: a989, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a11, ])
Round 75
  Turn 1: Party 1       (Offer: Bid[Pie: a989, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a11, ])
Round 76
  Turn 1: Party 1       (Offer: Bid[Pie: a988, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a12, ])
Round 77
  Turn 1: Party 1       (Offer: Bid[Pie: a987, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a13, ])
Round 78
  Turn 1: Party 1       (Offer: Bid[Pie: a986, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a14, ])
Round 79
  Turn 1: Party 1       (Offer: Bid[Pie: a985, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a15, ])
Round 80
  Turn 1: Party 1       (Offer: Bid[Pie: a984, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a16, ])
Round 81
  Turn 1: Party 1       (Offer: Bid[Pie: a983, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a17, ])
Round 82
  Turn 1: Party 1       (Offer: Bid[Pie: a982, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a18, ])
Round 83
  Turn 1: Party 1       (Offer: Bid[Pie: a981, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a19, ])
Round 84
  Turn 1: Party 1       (Offer: Bid[Pie: a980, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a20, ])
Round 85
  Turn 1: Party 1       (Offer: Bid[Pie: a978, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a22, ])
Round 86
  Turn 1: Party 1       (Offer: Bid[Pie: a977, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a23, ])
Round 87
  Turn 1: Party 1       (Offer: Bid[Pie: a976, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a24, ])
Round 88
  Turn 1: Party 1       (Offer: Bid[Pie: a974, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a26, ])
Round 89
  Turn 1: Party 1       (Offer: Bid[Pie: a973, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a27, ])
Round 90
  Turn 1: Party 1       (Offer: Bid[Pie: a971, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a29, ])
Round 91
  Turn 1: Party 1       (Offer: Bid[Pie: a970, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a30, ])
Round 92
  Turn 1: Party 1       (Offer: Bid[Pie: a968, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a32, ])
Round 93
  Turn 1: Party 1       (Offer: Bid[Pie: a966, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a34, ])
Round 94
  Turn 1: Party 1       (Offer: Bid[Pie: a964, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a36, ])
Round 95
  Turn 1: Party 1       (Offer: Bid[Pie: a962, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a38, ])
Round 96
  Turn 1: Party 1       (Offer: Bid[Pie: a960, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a40, ])
Round 97
  Turn 1: Party 1       (Offer: Bid[Pie: a958, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a42, ])
Round 98
  Turn 1: Party 1       (Offer: Bid[Pie: a956, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a44, ])
Round 99
  Turn 1: Party 1       (Offer: Bid[Pie: a953, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a47, ])
Round 100
  Turn 1: Party 1       (Offer: Bid[Pie: a951, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a49, ])
Round 101
  Turn 1: Party 1       (Offer: Bid[Pie: a949, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a51, ])
Round 102
  Turn 1: Party 1       (Offer: Bid[Pie: a946, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a54, ])
Round 103
  Turn 1: Party 1       (Offer: Bid[Pie: a943, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a57, ])
Round 104
  Turn 1: Party 1       (Offer: Bid[Pie: a940, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a60, ])
Round 105
  Turn 1: Party 1       (Offer: Bid[Pie: a937, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a63, ])
Round 106
  Turn 1: Party 1       (Offer: Bid[Pie: a934, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a66, ])
Round 107
  Turn 1: Party 1       (Offer: Bid[Pie: a931, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a69, ])
Round 108
  Turn 1: Party 1       (Offer: Bid[Pie: a928, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a72, ])
Round 109
  Turn 1: Party 1       (Offer: Bid[Pie: a924, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a76, ])
Round 110
  Turn 1: Party 1       (Offer: Bid[Pie: a921, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a79, ])
Round 111
  Turn 1: Party 1       (Offer: Bid[Pie: a917, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a83, ])
Round 112
  Turn 1: Party 1       (Offer: Bid[Pie: a913, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a87, ])
Round 113
  Turn 1: Party 1       (Offer: Bid[Pie: a909, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a91, ])
Round 114
  Turn 1: Party 1       (Offer: Bid[Pie: a905, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a95, ])
Round 115
  Turn 1: Party 1       (Offer: Bid[Pie: a901, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a99, ])
Round 116
  Turn 1: Party 1       (Offer: Bid[Pie: a896, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a104, ])
Round 117
  Turn 1: Party 1       (Offer: Bid[Pie: a892, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a108, ])
Round 118
  Turn 1: Party 1       (Offer: Bid[Pie: a887, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a113, ])
Round 119
  Turn 1: Party 1       (Offer: Bid[Pie: a882, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a118, ])
Round 120
  Turn 1: Party 1       (Offer: Bid[Pie: a877, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a123, ])
Round 121
  Turn 1: Party 1       (Offer: Bid[Pie: a872, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a128, ])
Round 122
  Turn 1: Party 1       (Offer: Bid[Pie: a866, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a134, ])
Round 123
  Turn 1: Party 1       (Offer: Bid[Pie: a861, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a139, ])
Round 124
  Turn 1: Party 1       (Offer: Bid[Pie: a855, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a145, ])
Round 125
  Turn 1: Party 1       (Offer: Bid[Pie: a849, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a151, ])
Round 126
  Turn 1: Party 1       (Offer: Bid[Pie: a843, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a157, ])
Round 127
  Turn 1: Party 1       (Offer: Bid[Pie: a837, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a163, ])
Round 128
  Turn 1: Party 1       (Offer: Bid[Pie: a830, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a170, ])
Round 129
  Turn 1: Party 1       (Offer: Bid[Pie: a823, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a177, ])
Round 130
  Turn 1: Party 1       (Offer: Bid[Pie: a816, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a184, ])
Round 131
  Turn 1: Party 1       (Offer: Bid[Pie: a809, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a191, ])
Round 132
  Turn 1: Party 1       (Offer: Bid[Pie: a801, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a199, ])
Round 133
  Turn 1: Party 1       (Offer: Bid[Pie: a794, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a206, ])
Round 134
  Turn 1: Party 1       (Offer: Bid[Pie: a786, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a214, ])
Round 135
  Turn 1: Party 1       (Offer: Bid[Pie: a778, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a222, ])
Round 136
  Turn 1: Party 1       (Offer: Bid[Pie: a769, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a231, ])
Round 137
  Turn 1: Party 1       (Offer: Bid[Pie: a761, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a239, ])
Round 138
  Turn 1: Party 1       (Offer: Bid[Pie: a752, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a248, ])
Round 139
  Turn 1: Party 1       (Offer: Bid[Pie: a742, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a258, ])
Round 140
  Turn 1: Party 1       (Offer: Bid[Pie: a733, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a267, ])
Round 141
  Turn 1: Party 1       (Offer: Bid[Pie: a723, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a277, ])
Round 142
  Turn 1: Party 1       (Offer: Bid[Pie: a713, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a287, ])
Round 143
  Turn 1: Party 1       (Offer: Bid[Pie: a703, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a297, ])
Round 144
  Turn 1: Party 1       (Offer: Bid[Pie: a692, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a308, ])
Round 145
  Turn 1: Party 1       (Offer: Bid[Pie: a681, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a319, ])
Round 146
  Turn 1: Party 1       (Offer: Bid[Pie: a670, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a330, ])
Round 147
  Turn 1: Party 1       (Offer: Bid[Pie: a659, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a341, ])
Round 148
  Turn 1: Party 1       (Offer: Bid[Pie: a647, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a353, ])
Round 149
  Turn 1: Party 1       (Offer: Bid[Pie: a634, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a366, ])
Round 150
  Turn 1: Party 1       (Offer: Bid[Pie: a622, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a378, ])
Round 151
  Turn 1: Party 1       (Offer: Bid[Pie: a609, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a391, ])
Round 152
  Turn 1: Party 1       (Offer: Bid[Pie: a596, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a404, ])
Round 153
  Turn 1: Party 1       (Offer: Bid[Pie: a582, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a418, ])
Round 154
  Turn 1: Party 1       (Offer: Bid[Pie: a568, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a432, ])
Round 155
  Turn 1: Party 1       (Offer: Bid[Pie: a554, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a446, ])
Round 156
  Turn 1: Party 1       (Offer: Bid[Pie: a539, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a461, ])
Round 157
  Turn 1: Party 1       (Offer: Bid[Pie: a524, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a476, ])
Round 158
  Turn 1: Party 1       (Offer: Bid[Pie: a509, ])
  Turn 2: Party 2       (Offer: Bid[Pie: a491, ])
Round 159
  Turn 1: Party 1       (Offer: Bid[Pie: a493, ])
  Turn 2: Party 2       (Accept)
Found an agreement: Bid[Pie: a493, ]
Finished negotiation session in 0.482s
Time (s):		0.482042892
Rounds:		159
Agreement?:		Yes
Discounted?:		No
2
Min. utility:		0.49300
Max. utility:		0.50700
Distance to pareto:	0.00000
Distance to Nash:	0.00990
Social welfare:		1.00000
Agent utility:		0.49300 (Party 1)
Agent utility:		0.50700 (Party 2)

